client_id,product,channel,score
1,product1,call,0.056751447730256116
1,product2,call,0.1964368726702452
1,product3,call,0.26362172938194456
1,product1,sms,0.036901703849823865
1,product2,sms,0.05596249986731785
1,product3,sms,0.15186934051462098
2,product1,call,0.2449708917451614
2,product2,call,0.03842791204101222
2,product3,call,0.26118196225239615
2,product1,sms,0.14042687754225594
2,product2,sms,0.16966911347520552
2,product3,sms,0.29348445777985865
3,product1,call,0.01405734953285509
3,product2,call,0.10087279969348292
3,product3,call,0.2129351717698518
3,product1,sms,0.09963851043898578
3,product2,sms,0.03904830153835713
3,product3,sms,0.25784024537336103
4,product1,call,0.1653318513716463
4,product2,call,0.1753124907943093
4,product3,call,0.24467342542757262
4,product1,sms,0.21892580173265822
4,product2,sms,0.25554995016487364
4,product3,sms,0.12810941071386103
5,product1,call,0.06489684522539982
5,product2,call,0.291831621417097
5,product3,call,0.2932587171827902
5,product1,sms,0.08295400232090774
5,product2,sms,0.1282388794564253
5,product3,sms,0.1991373126005092
6,product1,call,0.14656788818869582
6,product2,call,0.2636739430126354
6,product3,call,0.28606970420240746
6,product1,sms,0.16023156736106337
6,product2,sms,0.0310337177780843
6,product3,sms,0.22880669068399104
7,product1,call,0.28070153331004233
7,product2,call,0.09270556333948221
7,product3,call,0.06678540491743358
7,product1,sms,0.23510805724344827
7,product2,sms,0.2870147145246461
7,product3,sms,0.24300476140995814
8,product1,call,0.181335910732112
8,product2,call,0.2324718967935695
8,product3,call,0.03700159078103072
8,product1,sms,0.028151412728710176
8,product2,sms,0.2322812647050499
8,product3,sms,0.014137269723118528
9,product1,call,0.09691727684472418
9,product2,call,0.17753687110082883
9,product3,call,0.20326148748962602
9,product1,sms,0.20568577064954738
9,product2,sms,0.10513143471859937
9,product3,sms,0.22472456611347832
10,product1,call,0.24396157015081604
10,product2,call,0.07544889857151567
10,product3,call,0.19064703737174002
10,product1,sms,0.12289103152636834
10,product2,sms,0.1593051885324033
10,product3,sms,0.29688983759910564
11,product1,call,0.0518920718578413
11,product2,call,0.10019718880643286
11,product3,call,0.16787726969694128
11,product1,sms,0.024538196780548603
11,product2,sms,0.027264545983059617
11,product3,sms,0.1250276594800962
12,product1,call,0.22158701510349502
12,product2,call,0.05840017132102606
12,product3,call,0.2623078684691388
12,product1,sms,0.24382159316125557
12,product2,sms,0.013993766051665146
12,product3,sms,0.29357115931754746
13,product1,call,0.12037702423208824
13,product2,call,0.28830495928186356
13,product3,call,0.076210053532422
13,product1,sms,0.022077444472923414
13,product2,sms,0.19329937568317684
13,product3,sms,0.11189098096059785
14,product1,call,0.01992313984189026
14,product2,call,0.016706360869312164
14,product3,call,0.17193026733507788
14,product1,sms,0.1320793339199855
14,product2,sms,0.17458705043649314
14,product3,sms,0.2792372764882441
15,product1,call,0.29596077009357186
15,product2,call,0.25692418792835675
15,product3,call,0.07234642299915253
15,product1,sms,0.15293995309154285
15,product2,sms,0.2724528296183364
15,product3,sms,0.2102186400426094
16,product1,call,0.21190763406331664
16,product2,call,0.07817710803469019
16,product3,call,0.2619277888983653
16,product1,sms,0.16552158412087326
16,product2,sms,0.16071489827266403
16,product3,sms,0.2859705357992575
17,product1,call,0.11067740895957395
17,product2,call,0.28827775264486544
17,product3,call,0.0516242236767813
17,product1,sms,0.2043283282885274
17,product2,sms,0.011048341512108562
17,product3,sms,0.17383125161840302
18,product1,call,0.2838132427396834
18,product2,call,0.08914891428573188
18,product3,call,0.0695460768749212
18,product1,sms,0.19021559041983097
18,product2,sms,0.29340588860454847
18,product3,sms,0.02278626136195827
19,product1,call,0.15662944847551669
19,product2,call,0.12364653568872465
19,product3,call,0.18882568094982768
19,product1,sms,0.13450758609852462
19,product2,sms,0.11037181937655811
19,product3,sms,0.22412712102871463
20,product1,call,0.22161384908963364
20,product2,call,0.12695747582734765
20,product3,call,0.05037661073431397
20,product1,sms,0.14388870114031346
20,product2,sms,0.06987449685484869
20,product3,sms,0.23383269901226078
21,product1,call,0.2894765415900915
21,product2,call,0.10154343263157249
21,product3,call,0.11980711068182077
21,product1,sms,0.06422157601100618
21,product2,sms,0.11069614855174943
21,product3,sms,0.14195887520322217
22,product1,call,0.26348382611691
22,product2,call,0.26453007802448153
22,product3,call,0.2430988625139249
22,product1,sms,0.13295628206853136
22,product2,sms,0.2360714035455353
22,product3,sms,0.03432591325664725
23,product1,call,0.2772040270745069
23,product2,call,0.14434413154105827
23,product3,call,0.08908095789239003
23,product1,sms,0.03289917473775656
23,product2,sms,0.06500017289829937
23,product3,sms,0.18670957243068903
24,product1,call,0.2204289444628875
24,product2,call,0.27745497307420286
24,product3,call,0.06803317297799368
24,product1,sms,0.28724346604697953
24,product2,sms,0.189337645228946
24,product3,sms,0.2137383919382048
25,product1,call,0.08500502364708831
25,product2,call,0.21638646864020447
25,product3,call,0.014213011619619919
25,product1,sms,0.12027335914678167
25,product2,sms,0.21398801878470192
25,product3,sms,0.2321679137761909
26,product1,call,0.27641833119673564
26,product2,call,0.047983460463653003
26,product3,call,0.22477823603808442
26,product1,sms,0.1136058673913618
26,product2,sms,0.024391915508825333
26,product3,sms,0.2733263602542885
27,product1,call,0.03296438060012188
27,product2,call,0.13464931794849969
27,product3,call,0.22565556447260082
27,product1,sms,0.27012430359983786
27,product2,sms,0.24411546932729775
27,product3,sms,0.04672735240706422
28,product1,call,0.010268443978617191
28,product2,call,0.06767136895972721
28,product3,call,0.11528602376197689
28,product1,sms,0.24093666373601663
28,product2,sms,0.04899800335276115
28,product3,sms,0.11941612573916992
29,product1,call,0.20048717564901072
29,product2,call,0.2540752537012322
29,product3,call,0.12860387223980818
29,product1,sms,0.2987672172416199
29,product2,sms,0.08147707914846102
29,product3,sms,0.24632998764448788
30,product1,call,0.06699499652107413
30,product2,call,0.2501044551909612
30,product3,call,0.023349618997838672
30,product1,sms,0.1809488283255005
30,product2,sms,0.13830769623618766
30,product3,sms,0.2560996211790676
31,product1,call,0.17806843329573077
31,product2,call,0.10587683808725186
31,product3,call,0.06075351048525935
31,product1,sms,0.021331331743484904
31,product2,sms,0.07912279447270322
31,product3,sms,0.2335792475991919
32,product1,call,0.2656127646003987
32,product2,call,0.2054277934088563
32,product3,call,0.1602879272477365
32,product1,sms,0.10506054961897698
32,product2,sms,0.26812833859166485
32,product3,sms,0.06915643557280067
33,product1,call,0.21167823272146083
33,product2,call,0.1742209262383251
33,product3,call,0.03580028228273894
33,product1,sms,0.11377199991863018
33,product2,sms,0.04068471908558249
33,product3,sms,0.01701420216057097
34,product1,call,0.0096540759870685
34,product2,call,0.2311621894296979
34,product3,call,0.08900430539305629
34,product1,sms,0.11265074111587178
34,product2,sms,0.11976542627193568
34,product3,sms,0.26705833154532627
35,product1,call,0.032346749333112434
35,product2,call,0.15688502898381249
35,product3,call,0.18330394504277298
35,product1,sms,0.07201471810433505
35,product2,sms,0.12118522878873833
35,product3,sms,0.00027426458528577723
36,product1,call,0.1957640481323962
36,product2,call,0.05988299669796124
36,product3,call,0.23980931189138233
36,product1,sms,0.05880810789890941
36,product2,sms,0.14696862806986474
36,product3,sms,0.18120527917575907
37,product1,call,0.26758321109542793
37,product2,call,0.02594271260882407
37,product3,call,0.21038124403496997
37,product1,sms,0.040078557994355654
37,product2,sms,0.17528622262525098
37,product3,sms,0.047663500106438626
38,product1,call,0.2534404725203072
38,product2,call,0.2903930979762296
38,product3,call,0.19629372202001835
38,product1,sms,0.19914410657763093
38,product2,sms,0.2563601194755917
38,product3,sms,0.25231815386487555
39,product1,call,0.2703449888432155
39,product2,call,0.19500389881390182
39,product3,call,0.22357421450689918
39,product1,sms,0.05526365028040002
39,product2,sms,0.06276065485471197
39,product3,sms,0.2292310011613749
40,product1,call,0.1316427173471498
40,product2,call,0.09077412146625694
40,product3,call,0.2844607705004773
40,product1,sms,0.059477558926838266
40,product2,sms,0.18131213073920288
40,product3,sms,0.003722225230025633
41,product1,call,0.1612328582723912
41,product2,call,0.12827014973908962
41,product3,call,0.17812995344044824
41,product1,sms,0.2797352661771824
41,product2,sms,0.16405232282163368
41,product3,sms,0.25501151504946645
42,product1,call,0.08470652549210729
42,product2,call,0.1522300788152821
42,product3,call,0.17167926418590285
42,product1,sms,0.09043759316414761
42,product2,sms,0.2622031711868495
42,product3,sms,0.15865592255127817
43,product1,call,0.0629517386704472
43,product2,call,0.17329824374314592
43,product3,call,0.22590650874219623
43,product1,sms,0.1986815520302296
43,product2,sms,0.10056426122748875
43,product3,sms,0.2716787277832513
44,product1,call,0.207465468367954
44,product2,call,0.12959998961064384
44,product3,call,0.16153131918080504
44,product1,sms,0.28599482999456255
44,product2,sms,0.13521172563084038
44,product3,sms,0.21042356510543436
45,product1,call,0.03719383544323807
45,product2,call,0.06863996211793238
45,product3,call,0.2973602780435661
45,product1,sms,0.23956882309784727
45,product2,sms,0.07521304148417272
45,product3,sms,0.18993451199671377
46,product1,call,0.13932989094193632
46,product2,call,0.1387758737651111
46,product3,call,0.10995365598421991
46,product1,sms,0.29205959011609
46,product2,sms,0.10424251724589946
46,product3,sms,0.23460614943269856
47,product1,call,0.08475629496029036
47,product2,call,0.2502881754856281
47,product3,call,0.15995637764009343
47,product1,sms,0.026739280129057696
47,product2,sms,0.21050645268341864
47,product3,sms,0.2950502236455898
48,product1,call,0.25177328750094086
48,product2,call,0.1773585839840895
48,product3,call,0.07215345024025131
48,product1,sms,0.11068983999789084
48,product2,sms,0.13856677501223993
48,product3,sms,0.1055846833018051
49,product1,call,0.19702092489299858
49,product2,call,0.24963013659775019
49,product3,call,0.25619602421130305
49,product1,sms,0.2542330413742942
49,product2,sms,0.13582713894322546
49,product3,sms,0.2601380786326286
50,product1,call,0.04020561433339339
50,product2,call,0.17611886286488246
50,product3,call,0.18702555809858012
50,product1,sms,0.030324311105612654
50,product2,sms,0.266698423704001
50,product3,sms,0.2719539803991322
51,product1,call,0.07938292436481126
51,product2,call,0.2005704364391556
51,product3,call,0.03623171922682887
51,product1,sms,0.29385716056721745
51,product2,sms,0.026006416825187405
51,product3,sms,0.2880613752552411
52,product1,call,0.27797978743012264
52,product2,call,0.13889084490758902
52,product3,call,0.2750399904152072
52,product1,sms,0.236650916483423
52,product2,sms,0.031505653066885166
52,product3,sms,0.032046803391424995
53,product1,call,0.017494070291706087
53,product2,call,0.11269349974196691
53,product3,call,0.226917854789149
53,product1,sms,0.09589239133770967
53,product2,sms,0.0956058697520022
53,product3,sms,0.25028547796781475
54,product1,call,0.013081574507023784
54,product2,call,0.2516612651216521
54,product3,call,0.25494440690052417
54,product1,sms,0.28186403539309385
54,product2,sms,0.07219730679003546
54,product3,sms,0.004531761990922101
55,product1,call,0.2278527543694634
55,product2,call,0.01086652705518637
55,product3,call,0.0028621545797744784
55,product1,sms,0.21332402805662318
55,product2,sms,0.1745789488559518
55,product3,sms,0.2634250580901227
56,product1,call,0.18457089336682486
56,product2,call,0.19802003171181481
56,product3,call,0.2998119420485374
56,product1,sms,0.16433895427691683
56,product2,sms,0.12042211376646085
56,product3,sms,0.2979500253538535
57,product1,call,0.06329517919699633
57,product2,call,0.14676082210339178
57,product3,call,0.060995920554037006
57,product1,sms,0.27507683749136075
57,product2,sms,0.0892636390361924
57,product3,sms,0.053906883573270045
58,product1,call,0.17961827466146849
58,product2,call,0.08515607124334917
58,product3,call,0.26452126249208374
58,product1,sms,0.27222159552728675
58,product2,sms,0.1255224661499205
58,product3,sms,0.2061670877860511
59,product1,call,0.28707064305723906
59,product2,call,0.2940656068871757
59,product3,call,0.1392224094587123
59,product1,sms,0.10675489282620483
59,product2,sms,0.2831040145668023
59,product3,sms,0.15551491599972272
60,product1,call,0.21300160419367173
60,product2,call,0.2697732270785864
60,product3,call,0.24146949181117525
60,product1,sms,0.0009429558892311118
60,product2,sms,0.08999683578881028
60,product3,sms,0.16683897700044034
61,product1,call,0.01769356389756128
61,product2,call,0.1306801372006748
61,product3,call,0.06413889780204998
61,product1,sms,0.04407251829735276
61,product2,sms,0.011901838170111145
61,product3,sms,0.26545478038390435
62,product1,call,0.2664911379002439
62,product2,call,0.10732190846390978
62,product3,call,0.1679042727361704
62,product1,sms,0.03548147400983831
62,product2,sms,0.12751123489305166
62,product3,sms,0.27100382428263997
63,product1,call,0.28082413546133556
63,product2,call,0.1907415402612305
63,product3,call,0.1453501291353935
63,product1,sms,0.13765249868028032
63,product2,sms,0.06516097180727937
63,product3,sms,0.19760786281882067
64,product1,call,0.18252240342341983
64,product2,call,0.00044135489699188564
64,product3,call,0.15724744074287414
64,product1,sms,0.13803397903254114
64,product2,sms,0.007045268755541179
64,product3,sms,0.004007699086266148
65,product1,call,0.0842316616123786
65,product2,call,0.07976713759976953
65,product3,call,0.1514843068923981
65,product1,sms,0.1678148042181088
65,product2,sms,0.007824598920736503
65,product3,sms,0.1838082034971284
66,product1,call,0.12078363015234424
66,product2,call,0.19057492688291847
66,product3,call,0.08933979775301888
66,product1,sms,0.03646639130053766
66,product2,sms,0.23864319197898
66,product3,sms,0.24462446712922664
67,product1,call,0.2108476794160929
67,product2,call,0.165741400291626
67,product3,call,0.049755495658203294
67,product1,sms,0.07079310488364889
67,product2,sms,0.0430344048723015
67,product3,sms,0.2884776213690054
68,product1,call,0.046038952653928884
68,product2,call,0.22626461257049577
68,product3,call,0.04151067876122065
68,product1,sms,0.1437284318691678
68,product2,sms,0.07173746527530465
